word,definition,example
capable,Having the ability or qualities necessary to do something.,She is a capable leader and always gets the job done.
capacity,The amount something can contain or hold.,"The stadium has a seating capacity of 50,000."
capital,Wealth or assets used to produce more wealth.,The company used its capital to invest in new equipment.
captain,The leader of a team or ship.,The captain steered the ship safely through the storm.
capture,"To take into one's possession or control, especially by force or skill.",The photographer managed to capture a stunning image of the sunset.
car,"A road vehicle, typically with four wheels, powered by an engine, and used for transporting people.",I drove my car to the grocery store.
carbon,A common chemical element found in all known life and many non-living things like coal and diamonds.,Plants absorb carbon dioxide from the air to grow.
card,"A small, rectangular piece of stiff paper or plastic used for various purposes, such as identification, playing games, or sending messages.","I forgot to bring my library card, so I couldn't check out any books."
care,To feel concern or interest; to look after and protect.,I care about my friends and want them to be happy.
career,"A long-term, chosen path of work or profession.",She built a successful career as a software engineer.
careful,"Taking precautions to avoid potential danger, mistakes, or harm.",Be careful crossing the street; look both ways.
carefully,In a way that shows attention and caution to avoid mistakes or damage.,She carefully poured the hot tea into the delicate cup.
carrier,Someone or something that transports goods or people.,The postal service is a common carrier for letters and packages.
carry,To support and move someone or something from one place to another.,Can you carry this bag for me?
case,A situation or instance of something.,This is a case of mistaken identity.
cash,Money in the form of coins or banknotes.,"I'd like to pay in cash, please."
cast,"To throw or direct something, or to choose actors for a play or film.",The fisherman cast his line into the river.
cat,"A small, domesticated carnivorous mammal with soft fur, a short snout, and retractable claws.",My neighbor's cat likes to sunbathe on my car hood.
catch,To intercept and hold something moving through the air.,"I tried to catch the baseball, but it went right past me."
category,A group of things that share similar characteristics.,Apples and bananas belong to the category of fruits.
Catholic,"Relating to the Roman Catholic Church, or a member of it.",She attended Catholic school her whole life.
cause,To make something happen.,The rain caused the game to be cancelled.
ceiling,The overhead upper surface of a room.,The ceiling fan was spinning slowly to circulate the air.
celebrate,"To show joy and appreciation for an event, person, or accomplishment.",We're going to celebrate her birthday with a big party.
